Year;Make-model-year-fuel;Make;Model;Variant;Size segment;Fuel-size segment;No. of registrations;Shares;Prices (2015-DKK);Ownership cost (DKK);Weight (kg);Fuel;Engine effect (kW);Horsepower;Size (m3);Footprint (m�);Cost/km (DKK);fuelPrice (DKK/unit)
2006;toyota-avensis-2006-Diesel;toyota;avensis;2,2 STW DIESEL D-4D;Small;DieselSmall;1038;0.000412373;4033492991,00;3.513.252.055;1975;Diesel;110;1.393.076.923;12.060.224;8.223.261.538;0.608383234;10.16
2006;chevrolet-nubira-2006-Benzin;chevrolet;nubira;1,6 STW;Small;BenzinSmall;1029;0.000408798;2336401869,00;1.669.653.286;1765;Benzin;89;122;11.568.164;79.234;0.88359375;11.31
2006;audi-a4-2006-Diesel;audi;a4;2,0 TDI;Large;DieselLarge;1000;0.000397277;425296729,00;3.912.026.206;2080;Diesel;103;1.383.333.333;11.617.749;8.106.112;0.655483871;10.16
2006;mazda-3-2006-Benzin;mazda;3;1,6 SEDAN;Small;BenzinSmall;993;0.000394496;2566320093,00;1.878.709.188;1700;Benzin;110;132;11.537.504;785.312;0.80212766;11.31
2006;volvo-v50-2006-Benzin;volvo;v50;2,4 140 HK;Large;BenzinLarge;965;0.000383372;3790829439,00;3.583.782.989;1900;Benzin;92;126.4;11.574.915;798.624;0.825547445;11.31
2006;nissan-micra-2006-Benzin;nissan;micra;1,2 3-DØRS;Small;BenzinSmall;940;0.00037344;1656296729,00;1.468.706.713;1475;Benzin;48;65;9.509.808;61.752;0.669230769;11.31
2006;hyundai-sonata-2006-Benzin;hyundai;sonata;2,4 AUT.;Large;BenzinLarge;912;0.000362316;2803679907,00;2.292.120.316;2125;Benzin;119;167.8;1.300.032;8.784;1.142.424.242;11.31
2006;opel-meriva-2006-Benzin;opel;meriva;1,6;Large;BenzinLarge;902;0.000358344;2793983645,00;2.241.712.655;1855;Benzin;77;9.333.333.333;1.108.809;6.833.233.333;0.759060403;11.31
2006;honda-civic-2006-Benzin;honda;civic;1,8 I SPORT;Small;BenzinSmall;888;0.000352782;3153598131,00;2.736.049.582;1750;Benzin;103;140;1.098.285;7.515.416.667;0.734415584;11.31
2006;kia-rio-2006-Benzin;kia;rio;1,4 MPV;Small;BenzinSmall;831;0.000330137;1577056075,00;1.347.304.281;1580;Benzin;71;97;997.101;6.783;0.702484472;11.31
2006;renault-megane-2006-Benzin;renault;megane;1,6 16V;Small;BenzinSmall;779;0.000309479;2651869159,00;2.361.972.693;1775;Benzin;82;120;1.113.829.067;7.843.866.667;0.87;11.31
2006;opel-zafira-2006-Benzin;opel;zafira;1,8;Large;BenzinLarge;733;0.000291204;416328271,00;3.347.699.411;2175;Benzin;77;129;1.319.544;8.046;0.92704918;11.31
2006;opel-zafira-2006-Diesel;opel;zafira;1,9 CDTI;Large;DieselLarge;629;0.000249887;416328271,00;3.362.699.411;2195;Diesel;88;129;1.319.544;8.046;0.608383234;10.16
2006;seat-leon-2006-Benzin;seat;leon;1,6;Large;BenzinLarge;617;0.00024512;2569988318,00;2.328.159.663;1904;Benzin;75;1.163.333.333;11.163.744;76.464;0.919512195;11.31
2006;suzuki-sx4-2006-Benzin;suzuki;sx4;1,6;Small;BenzinSmall;597;0.000237174;2336308411,00;1.918.515.119;1600;Benzin;79;107;1.106.508;7.093;0.769387755;11.31
2006;chevrolet-kalos-2006-Benzin;chevrolet;kalos;1,4;Small;BenzinSmall;502;0.000199433;1425163551,00;1.015.010.653;1455;Benzin;69;72;97.194;64.796;0.725;11.31
2006;ford-fusion-2006-Benzin;ford;fusion;1,6;Small;BenzinSmall;495;0.000196652;2394848131,00;2.260.926.592;1600;Benzin;74;103;10.621.688;68.972;0.734415584;11.31
2006;volvo-s40-2006-Benzin;volvo;s40;1,6;Small;BenzinSmall;491;0.000195063;348125,00;3.298.510.953;1800;Benzin;92;108.5;11.472.255;792.075;0.813669065;11.31
2006;peugeot-partner-2006-Diesel;peugeot;partner;1,6 HDI;Small;DieselSmall;474;0.000188309;1930221963,00;1.533.866.518;1875;Diesel;66;9.666.666.667;12.857.516;7.109.333.333;0.549189189;10.16
2006;hyundai-sonata-2006-Diesel;hyundai;sonata;2,0 CRDI;Large;DieselLarge;469;0.000186323;2803679907,00;2.232.720.316;2150;Diesel;103;167.8;1.300.032;8.784;0.619512195;10.16
2006;opel-astra-2006-Diesel;opel;astra;1,7 CDTI;Small;DieselSmall;464;0.000184336;2735864486,00;2.217.654.179;1835;Diesel;59;97.5;1.085.875;7.555.625;0.508;10.16
2006;seat-altea-2006-Diesel;seat;altea;2,0 TDI AUT.;Small;DieselSmall;449;0.000178377;3134007009,00;2.808.570.162;2005;Diesel;77;103.5;11.893.692;75.756;0.555191257;10.16
2006;chevrolet-matiz-2006-Benzin;chevrolet;matiz;1;Small;BenzinSmall;445;0.000176788;1249929907,00;8.826.593.098;1275;Benzin;38;51;78.225;5.25;0.631843575;11.31
2006;audi-q7-2006-Diesel;audi;q7;3,0 TDI AUT.;Large;DieselLarge;433;0.000172021;1155310748,00;1.053.566.582;2990;Diesel;171;233;17.536.068;100.782;1.069.473.684;10.16
